title,description,difficulty,solution
Relative Ranks,"You are given an integer array `score` of size `n`, where `score[i]` is the score of the `ith` athlete in a competition. All the scores are guaranteed to be unique.

The athletes are placed based on their scores, where the `1st` place athlete has the highest score, the `2nd` place athlete has the `2nd` highest score, and so on. The placement of each athlete determines their rank:
The `1st` place athlete's rank is `""Gold Medal""`.

The `2nd` place athlete's rank is `""Silver Medal""`.

The `3rd` place athlete's rank is `""Bronze Medal""`.

For the `4th` place to the `nth` place athlete, their rank is their placement number (i.e., the `xth` place athlete's rank is `""x""`).

Return an array `answer` of size `n` where `answer[i]` is the rank of the `ith` athlete.


Example 1:
Input: score = [5,4,3,2,1]
Output: [""Gold Medal"",""Silver Medal"",""Bronze Medal"",""4"",""5""]
Explanation: The placements are [1st, 2nd, 3rd, 4th, 5th].


Example 2:
Input: score = [10,3,8,9,4]
Output: [""Gold Medal"",""5"",""Bronze Medal"",""Silver Medal"",""4""]
Explanation: The placements are [1st, 5th, 3rd, 2nd, 4th].


Constraints:
`n == score.length`
`1 <= n <= 104`
`0 <= score[i] <= 106`
All the values in `score` are unique.",Easy,"def findRelativeRanks(score):
    # Step 1: Create a copy of the scores
    sorted_scores = score[:]
    
    # Step 2: Sort the scores in descending order using bubble sort
    n = len(sorted_scores)
    for i in range(n):
        for j in range(0, n-i-1):
            if sorted_scores[j] < sorted_scores[j+1]:
                sorted_scores[j], sorted_scores[j+1] = sorted_scores[j+1], sorted_scores[j]
    
    # Step 3: Assign ranks
    rank_dict = {}
    for idx, value in enumerate(sorted_scores):
        if idx == 0:
            rank_dict[value] = ""Gold Medal""
        elif idx == 1:
            rank_dict[value] = ""Silver Medal""
        elif idx == 2:
            rank_dict[value] = ""Bronze Medal""
        else:
            rank_dict[value] = str(idx + 1)
    
    # Step 4: Map ranks back to original scores
    result = []
    for s in score:
        result.append(rank_dict[s])
    
    # Step 5: Return the result
    return result

# Example usage:
print(findRelativeRanks([5, 4, 3, 2, 1]))  # Output: [""Gold Medal"", ""Silver Medal"", ""Bronze Medal"", ""4"", ""5""]
print(findRelativeRanks([10, 3, 8, 9, 4]))  # Output: [""Gold Medal"", ""5"", ""Bronze Medal"", ""Silver Medal"", ""4""]"
Truncate Sentence,"A sentence is a list of words that are separated by a single space with no leading or trailing spaces. Each of the words consists of only uppercase and lowercase English letters (no punctuation).

For example, `""Hello World""`, `""HELLO""`, and `""hello world hello world""` are all sentences.

You are given a sentence `s`​​​​​​ and an integer `k`​​​​​​. You want to truncate `s`​​​​​​ such that it contains only the first `k`​​​​​​ words. Return `s`​​​​​​ after truncating it.


Example 1:
Input: s = ""Hello how are you Contestant"", k = 4
Output: ""Hello how are you""
Explanation:
The words in s are [""Hello"", ""how"" ""are"", ""you"", ""Contestant""].

The first 4 words are [""Hello"", ""how"", ""are"", ""you""].

Hence, you should return ""Hello how are you"".


Example 2:
Input: s = ""What is the solution to this problem"", k = 4
Output: ""What is the solution""
Explanation:
The words in s are [""What"", ""is"" ""the"", ""solution"", ""to"", ""this"", ""problem""].

The first 4 words are [""What"", ""is"", ""the"", ""solution""].

Hence, you should return ""What is the solution"".


Example 3:
Input: s = ""chopper is not a tanuki"", k = 5
Output: ""chopper is not a tanuki""

Constraints:
`1 <= s.length <= 500`
`k` is in the range `[1, the number of words in s]`.

`s` consist of only lowercase and uppercase English letters and spaces.

The words in `s` are separated by a single space.

There are no leading or trailing spaces.",Easy,"def truncate_sentence(s, k):
    # Initialize variables
    truncated_words = []
    current_word = """"
    
    # Iterate through each character in the string
    for char in s:
        if char == ' ':
            # If a space is found, it means the end of a word
            if len(truncated_words) < k:
                truncated_words.append(current_word)
                current_word = """"
        else:
            # Otherwise, keep building the current word
            current_word += char
    
    # Add the last word if it hasn't been added yet
    if len(truncated_words) < k:
        truncated_words.append(current_word)
    
    # Construct the truncated sentence
    truncated_sentence = """"
    for i in range(len(truncated_words)):
        truncated_sentence += truncated_words[i]
        if i < len(truncated_words) - 1:
            truncated_sentence += ' '
    
    return truncated_sentence

# Example usage:
print(truncate_sentence(""Hello how are you Contestant"", 4))  # Output: ""Hello how are you""
print(truncate_sentence(""What is the solution to this problem"", 4))  # Output: ""What is the solution""
print(truncate_sentence(""chopper is not a tanuki"", 5))  # Output: ""chopper is not a tanuki"""
Perform String Shifts,"You are given a string `s` containing lowercase English letters, and a matrix `shift`, where `shift[i] = [direction, amount]`:
`direction` can be `0` (for left shift) or `1` (for right shift). 
`amount` is the amount by which string `s` is to be shifted.

A left shift by 1 means remove the first character of `s` and append it to the end.

Similarly, a right shift by 1 means remove the last character of `s` and add it to the beginning.

Return the final string after all operations.


Example 1:
Input: s = ""abc"", shift = [[0,1],[1,2]]
Output: ""cab""
Explanation: 
[0,1] means shift to left by 1. ""abc"" -> ""bca""
[1,2] means shift to right by 2. ""bca"" -> ""cab""

Example 2:
Input: s = ""abcdefg"", shift = [[1,1],[1,1],[0,2],[1,3]]
Output: ""efgabcd""
Explanation:  
[1,1] means shift to right by 1. ""abcdefg"" -> ""gabcdef""
[1,1] means shift to right by 1. ""gabcdef"" -> ""fgabcde""
[0,2] means shift to left by 2. ""fgabcde"" -> ""abcdefg""
[1,3] means shift to right by 3. ""abcdefg"" -> ""efgabcd""

Constraints:
`1 <= s.length <= 100`
`s` only contains lower case English letters.

`1 <= shift.length <= 100`
`shift[i].length == 2`
`0 <= shift[i][0] <= 1`
`0 <= shift[i][1] <= 100`",Easy,"def stringShift(s, shift):
    # Calculate net shift
    net_shift = 0
    for direction, amount in shift:
        if direction == 0:
            net_shift -= amount
        else:
            net_shift += amount
    
    # Normalize the net shift
    n = len(s)
    net_shift = net_shift % n
    
    # Apply the net shift
    if net_shift > 0:
        # Right shift
        return s[-net_shift:] + s[:-net_shift]
    elif net_shift < 0:
        # Left shift (convert to equivalent positive right shift)
        net_shift = -net_shift
        return s[net_shift:] + s[:net_shift]
    else:
        # No shift
        return s

# Example usage:
s1 = ""abc""
shift1 = [[0, 1], [1, 2]]
print(stringShift(s1, shift1))  # Output: ""cab""

s2 = ""abcdefg""
shift2 = [[1, 1], [1, 1], [0, 2], [1, 3]]
print(stringShift(s2, shift2))  # Output: ""efgabcd"""
Invert Binary Tree,"Given the `root` of a binary tree, invert the tree, and return its root.


Example 1:
Input: root = [4,2,7,1,3,6,9]
Output: [4,7,2,9,6,3,1]

Example 2:
Input: root = [2,1,3]
Output: [2,3,1]

Example 3:
Input: root = []
Output: []

Constraints:
The number of nodes in the tree is in the range `[0, 100]`.

`-100 <= Node.val <= 100`",Easy,"class TreeNode:
    def __init__(self, val=0, left=None, right=None):
        self.val = val
        self.left = left
        self.right = right

def invertTree(root):
    # Base case: if the current node is None, return None
    if root is None:
        return None
    
    # Recursive case: swap the left and right children
    temp = root.left
    root.left = root.right
    root.right = temp
    
    # Recursively invert the left and right subtrees
    invertTree(root.left)
    invertTree(root.right)
    
    # Return the root of the inverted tree
    return root

# Example usage:
# Constructing the tree for example 1: [4,2,7,1,3,6,9]
root = TreeNode(4)
root.left = TreeNode(2)
root.right = TreeNode(7)
root.left.left = TreeNode(1)
root.left.right = TreeNode(3)
root.right.left = TreeNode(6)
root.right.right = TreeNode(9)

# Invert the tree
inverted_root = invertTree(root)

# Function to print the tree in level order (for verification)
def printLevelOrder(root):
    if root is None:
        return
    queue = []
    queue.append(root)
    while len(queue) > 0:
        node = queue.pop(0)
        print(node.val, end="" "")
        if node.left is not None:
            queue.append(node.left)
        if node.right is not None:
            queue.append(node.right)
    print()

# Print the inverted tree
printLevelOrder(inverted_root)"
Merge Strings Alternately,"You are given two strings `word1` and `word2`. Merge the strings by adding letters in alternating order, starting with `word1`. If a string is longer than the other, append the additional letters onto the end of the merged string.

Return the merged string.


Example 1:
Input: word1 = ""abc"", word2 = ""pqr""
Output: ""apbqcr""
Explanation: The merged string will be merged as so:
word1:  a   b   c
word2:    p   q   r
merged: a p b q c r

Example 2:
Input: word1 = ""ab"", word2 = ""pqrs""
Output: ""apbqrs""
Explanation: Notice that as word2 is longer, ""rs"" is appended to the end.

word1:  a   b 
word2:    p   q   r   s
merged: a p b q   r   s

Example 3:
Input: word1 = ""abcd"", word2 = ""pq""
Output: ""apbqcd""
Explanation: Notice that as word1 is longer, ""cd"" is appended to the end.

word1:  a   b   c   d
word2:    p   q 
merged: a p b q c   d

Constraints:
`1 <= word1.length, word2.length <= 100`
`word1` and `word2` consist of lowercase English letters.",Easy,"def merge_strings(word1, word2):
    # Initialize an empty list to store the merged characters
    merged = []
    
    # Get the lengths of both words
    len1 = 0
    for _ in word1:
        len1 += 1
    
    len2 = 0
    for _ in word2:
        len2 += 1
    
    # Determine the maximum length of the two words
    max_len = len1 if len1 > len2 else len2
    
    # Iterate through the range of the maximum length
    for i in range(max_len):
        # If the current index is within the bounds of word1, add the character to the merged list
        if i < len1:
            merged.append(word1[i])
        
        # If the current index is within the bounds of word2, add the character to the merged list
        if i < len2:
            merged.append(word2[i])
    
    # Convert the list of characters back to a string and return it
    result = """"
    for char in merged:
        result += char
    
    return result

# Example usage:
print(merge_strings(""abc"", ""pqr""))  # Output: ""apbqcr""
print(merge_strings(""ab"", ""pqrs""))  # Output: ""apbqrs""
print(merge_strings(""abcd"", ""pq""))  # Output: ""apbqcd"""
Delete N Nodes After M Nodes of a Linked List,"Given the `head` of a linked list and two integers `m` and `n`. Traverse the linked list and remove some nodes in the following way:
Start with the head as the current node.

Keep the first `m` nodes starting with the current node.

Remove the next `n` nodes
Keep repeating steps 2 and 3 until you reach the end of the list.

Return the head of the modified list after removing the mentioned nodes.

Follow up question: How can you solve this problem by modifying the list in-place?

Example 1:
Input: head = [1,2,3,4,5,6,7,8,9,10,11,12,13], m = 2, n = 3
Output: [1,2,6,7,11,12]
Explanation: Keep the first (m = 2) nodes starting from the head of the linked List  (1 ->2) show in black nodes.

Delete the next (n = 3) nodes (3 -> 4 -> 5) show in read nodes.

Continue with the same procedure until reaching the tail of the Linked List.

Head of linked list after removing nodes is returned.


Example 2:
Input: head = [1,2,3,4,5,6,7,8,9,10,11], m = 1, n = 3
Output: [1,5,9]
Explanation: Head of linked list after removing nodes is returned.


Example 3:
Input: head = [1,2,3,4,5,6,7,8,9,10,11], m = 3, n = 1
Output: [1,2,3,5,6,7,9,10,11]

Example 4:
Input: head = [9,3,7,7,9,10,8,2], m = 1, n = 2
Output: [9,7,8]

Constraints:
The given linked list will contain between `1` and `10^4` nodes.

The value of each node in the linked list will be in the range` [1, 10^6]`.

`1 <= m,n <= 1000`",Easy,"class ListNode:
    def __init__(self, val=0, next=None):
        self.val = val
        self.next = next

def deleteNodes(head, m, n):
    current = head
    previous = None
    
    while current:
        # Keep m nodes
        for _ in range(m):
            if not current:
                break
            previous = current
            current = current.next
        
        # Remove n nodes
        for _ in range(n):
            if not current:
                break
            current = current.next
        
        # Link the remaining nodes
        if previous:
            previous.next = current
    
    return head

# Example usage:
# Create the linked list: 1 -> 2 -> 3 -> 4 -> 5 -> 6 -> 7 -> 8 -> 9 -> 10 -> 11 -> 12 -> 13
head = ListNode(1)
current = head
for i in range(2, 14):
    current.next = ListNode(i)
    current = current.next

# Call the function with m=2, n=3
new_head = deleteNodes(head, 2, 3)

# Print the modified list
current = new_head
while current:
    print(current.val, end="" "")
    current = current.next"
Reverse Linked List,"Given the `head` of a singly linked list, reverse the list, and return the reversed list.


Example 1:
Input: head = [1,2,3,4,5]
Output: [5,4,3,2,1]

Example 2:
Input: head = [1,2]
Output: [2,1]

Example 3:
Input: head = []
Output: []

Constraints:
The number of nodes in the list is the range `[0, 5000]`.

`-5000 <= Node.val <= 5000`
Follow up: A linked list can be reversed either iteratively or recursively. Could you implement both?",Easy,"class ListNode:
    def __init__(self, val=0, next=None):
        self.val = val
        self.next = next

def reverseListIterative(head):
    prev = None
    current = head
    while current is not None:
        next_node = current.next  # Store next node
        current.next = prev       # Reverse current node's pointer
        prev = current            # Move pointers one position ahead
        current = next_node
    return prev  # New head of the reversed list"
How Many Numbers Are Smaller Than the Current Number,"Given the array `nums`, for each `nums[i]` find out how many numbers in the array are smaller than it. That is, for each `nums[i]` you have to count the number of valid `j's` such that `j != i` and `nums[j] < nums[i]`.

Return the answer in an array.


Example 1:
Input: nums = [8,1,2,2,3]
Output: [4,0,1,1,3]
Explanation: 
For nums[0]=8 there exist four smaller numbers than it (1, 2, 2 and 3). 
For nums[1]=1 does not exist any smaller number than it.

For nums[2]=2 there exist one smaller number than it (1). 
For nums[3]=2 there exist one smaller number than it (1). 
For nums[4]=3 there exist three smaller numbers than it (1, 2 and 2).


Example 2:
Input: nums = [6,5,4,8]
Output: [2,1,0,3]

Example 3:
Input: nums = [7,7,7,7]
Output: [0,0,0,0]

Constraints:
`2 <= nums.length <= 500`
`0 <= nums[i] <= 100`",Easy,"def smaller_numbers_than_current(nums):
    result = []
    n = len(nums)
    
    for i in range(n):
        count = 0
        for j in range(i):
            if nums[j] < nums[i]:
                count += 1
        result.append(count)
    
    return result

# Example usage:
print(smaller_numbers_than_current([8, 1, 2, 2, 3]))  # Output: [4, 0, 1, 1, 3]
print(smaller_numbers_than_current([6, 5, 4, 8]))     # Output: [2, 1, 0, 3]
print(smaller_numbers_than_current([7, 7, 7, 7]))     # Output: [0, 0, 0, 0]"
Find All The Lonely Nodes,"In a binary tree, a lonely node is a node that is the only child of its parent node. The root of the tree is not lonely because it does not have a parent node.

Given the `root` of a binary tree, return an array containing the values of all lonely nodes in the tree. Return the list in any order.


Example 1:
Input: root = [1,2,3,null,4]
Output: [4]
Explanation: Light blue node is the only lonely node.

Node 1 is the root and is not lonely.

Nodes 2 and 3 have the same parent and are not lonely.


Example 2:
Input: root = [7,1,4,6,null,5,3,null,null,null,null,null,2]
Output: [6,2]
Explanation: Light blue nodes are lonely nodes.

Please remember that order doesn't matter, [2,6] is also an acceptable answer.


Example 3:
Input: root = [11,99,88,77,null,null,66,55,null,null,44,33,null,null,22]
Output: [77,55,33,66,44,22]
Explanation: Nodes 99 and 88 share the same parent. Node 11 is the root.

All other nodes are lonely.


Example 4:
Input: root = [197]
Output: []

Example 5:
Input: root = [31,null,78,null,28]
Output: [78,28]

Constraints:
The number of nodes in the `tree` is in the range `[1, 1000].`
Each node's value is between `[1, 10^6]`.",Easy,"class TreeNode:
    def __init__(self, val=0, left=None, right=None):
        self.val = val
        self.left = left
        self.right = right

def findLonelyNodes(root):
    lonely_nodes = []
    
    def dfs(node):
        if node is None:
            return
        
        # Check if the current node has only one child
        if node.left is None and node.right is not None:
            lonely_nodes.append(node.right.val)
        elif node.left is not None and node.right is None:
            lonely_nodes.append(node.left.val)
        
        # Traverse the left and right subtrees
        dfs(node.left)
        dfs(node.right)
    
    # Start DFS from the root
    dfs(root)
    
    return lonely_nodes

# Example usage:
# Construct the tree for example 1: [1,2,3,null,4]
root = TreeNode(1)
root.left = TreeNode(2)
root.right = TreeNode(3)
root.left.right = TreeNode(4)

print(findLonelyNodes(root))  # Output: [4]"
Maximum Ascending Subarray Sum,"Given an array of positive integers `nums`, return the maximum possible sum of an ascending subarray in `nums`.

A subarray is defined as a contiguous sequence of numbers in an array.

A subarray `[numsl, numsl+1, ..., numsr-1, numsr]` is ascending if for all `i` where `l <= i < r`, `numsi  < numsi+1`. Note that a subarray of size `1` is ascending.


Example 1:
Input: nums = [10,20,30,5,10,50]
Output: 65
Explanation: [5,10,50] is the ascending subarray with the maximum sum of 65.


Example 2:
Input: nums = [10,20,30,40,50]
Output: 150
Explanation: [10,20,30,40,50] is the ascending subarray with the maximum sum of 150.


Example 3:
Input: nums = [12,17,15,13,10,11,12]
Output: 33
Explanation: [10,11,12] is the ascending subarray with the maximum sum of 33.


Example 4:
Input: nums = [100,10,1]
Output: 100

Constraints:
`1 <= nums.length <= 100`
`1 <= nums[i] <= 100`",Easy,"def max_ascending_subarray_sum(nums):
    # Initialize variables
    max_sum = 0  # This will store the maximum sum of an ascending subarray
    current_sum = nums[0]  # Start with the first element as the initial current sum
    n = len(nums)  # Length of the input array

    # Iterate through the array starting from the second element
    for i in range(1, n):
        if nums[i] > nums[i - 1]:
            # If the current element is greater than the previous one, add it to the current sum
            current_sum += nums[i]
        else:
            # Otherwise, compare the current sum with the maximum sum and update if necessary
            if current_sum > max_sum:
                max_sum = current_sum
            # Reset the current sum to start a new subarray with the current element
            current_sum = nums[i]

    # After the loop, make sure to check the last subarray
    if current_sum > max_sum:
        max_sum = current_sum

    return max_sum

# Example usage:
print(max_ascending_subarray_sum([10, 20, 30, 5, 10, 50]))  # Output: 65
print(max_ascending_subarray_sum([10, 20, 30, 40, 50]))  # Output: 150
print(max_ascending_subarray_sum([12, 17, 15, 13, 10, 11, 12]))  # Output: 33
print(max_ascending_subarray_sum([100, 10, 1]))  # Output: 100"
