title,description,difficulty,solution
Relative Ranks,"You are given an integer array `score` of size `n`, where `score[i]` is the score of the `ith` athlete in a competition. All the scores are guaranteed to be unique.

The athletes are placed based on their scores, where the `1st` place athlete has the highest score, the `2nd` place athlete has the `2nd` highest score, and so on. The placement of each athlete determines their rank:
The `1st` place athlete's rank is `""Gold Medal""`.

The `2nd` place athlete's rank is `""Silver Medal""`.

The `3rd` place athlete's rank is `""Bronze Medal""`.

For the `4th` place to the `nth` place athlete, their rank is their placement number (i.e., the `xth` place athlete's rank is `""x""`).

Return an array `answer` of size `n` where `answer[i]` is the rank of the `ith` athlete.


Example 1:
Input: score = [5,4,3,2,1]
Output: [""Gold Medal"",""Silver Medal"",""Bronze Medal"",""4"",""5""]
Explanation: The placements are [1st, 2nd, 3rd, 4th, 5th].


Example 2:
Input: score = [10,3,8,9,4]
Output: [""Gold Medal"",""5"",""Bronze Medal"",""Silver Medal"",""4""]
Explanation: The placements are [1st, 5th, 3rd, 2nd, 4th].


Constraints:
`n == score.length`
`1 <= n <= 104`
`0 <= score[i] <= 106`
All the values in `score` are unique.",Easy,"function findRelativeRanks(score: number[]): string[] {
    // Step 1: Custom Sort - Implementing Bubble Sort for simplicity
    const n = score.length;
    const sortedScores = [...score]; // Copy the original array to sort

    for (let i = 0; i < n; i++) {
        for (let j = 0; j < n - i - 1; j++) {
            if (sortedScores[j] < sortedScores[j + 1]) {
                // Swap if the current element is less than the next element
                const temp = sortedScores[j];
                sortedScores[j] = sortedScores[j + 1];
                sortedScores[j + 1] = temp;
            }
        }
    }

    // Step 2: Assign Ranks
    const rankMap: { [key: number]: string } = {};
    const medals = [""Gold Medal"", ""Silver Medal"", ""Bronze Medal""];

    for (let i = 0; i < n; i++) {
        if (i < 3) {
            rankMap[sortedScores[i]] = medals[i];
        } else {
            rankMap[sortedScores[i]] = (i + 1).toString();
        }
    }

    // Step 3: Generate Result
    const result: string[] = [];
    for (let i = 0; i < n; i++) {
        result.push(rankMap[score[i]]);
    }

    return result;
}

// Example usage:
console.log(findRelativeRanks([5, 4, 3, 2, 1])); // Output: [""Gold Medal"",""Silver Medal"",""Bronze Medal"",""4"",""5""]
console.log(findRelativeRanks([10, 3, 8, 9, 4])); // Output: [""Gold Medal"",""5"",""Bronze Medal"",""Silver Medal"",""4""]"
Truncate Sentence,"A sentence is a list of words that are separated by a single space with no leading or trailing spaces. Each of the words consists of only uppercase and lowercase English letters (no punctuation).

For example, `""Hello World""`, `""HELLO""`, and `""hello world hello world""` are all sentences.

You are given a sentence `s`​​​​​​ and an integer `k`​​​​​​. You want to truncate `s`​​​​​​ such that it contains only the first `k`​​​​​​ words. Return `s`​​​​​​ after truncating it.


Example 1:
Input: s = ""Hello how are you Contestant"", k = 4
Output: ""Hello how are you""
Explanation:
The words in s are [""Hello"", ""how"" ""are"", ""you"", ""Contestant""].

The first 4 words are [""Hello"", ""how"", ""are"", ""you""].

Hence, you should return ""Hello how are you"".


Example 2:
Input: s = ""What is the solution to this problem"", k = 4
Output: ""What is the solution""
Explanation:
The words in s are [""What"", ""is"" ""the"", ""solution"", ""to"", ""this"", ""problem""].

The first 4 words are [""What"", ""is"", ""the"", ""solution""].

Hence, you should return ""What is the solution"".


Example 3:
Input: s = ""chopper is not a tanuki"", k = 5
Output: ""chopper is not a tanuki""

Constraints:
`1 <= s.length <= 500`
`k` is in the range `[1, the number of words in s]`.

`s` consist of only lowercase and uppercase English letters and spaces.

The words in `s` are separated by a single space.

There are no leading or trailing spaces.",Easy,"function truncateSentence(s: string, k: number): string {
    let result = '';
    let wordCount = 0;
    let i = 0;

    while (i < s.length) {
        if (s[i] === ' ') {
            wordCount++;
            if (wordCount === k) {
                break;
            }
        }
        if (wordCount < k) {
            result += s[i];
        }
        i++;
    }

    return result;
}

// Example usage:
console.log(truncateSentence(""Hello how are you Contestant"", 4)); // Output: ""Hello how are you""
console.log(truncateSentence(""What is the solution to this problem"", 4)); // Output: ""What is the solution""
console.log(truncateSentence(""chopper is not a tanuki"", 5)); // Output: ""chopper is not a tanuki"""
Perform String Shifts,"You are given a string `s` containing lowercase English letters, and a matrix `shift`, where `shift[i] = [direction, amount]`:
`direction` can be `0` (for left shift) or `1` (for right shift). 
`amount` is the amount by which string `s` is to be shifted.

A left shift by 1 means remove the first character of `s` and append it to the end.

Similarly, a right shift by 1 means remove the last character of `s` and add it to the beginning.

Return the final string after all operations.


Example 1:
Input: s = ""abc"", shift = [[0,1],[1,2]]
Output: ""cab""
Explanation: 
[0,1] means shift to left by 1. ""abc"" -> ""bca""
[1,2] means shift to right by 2. ""bca"" -> ""cab""

Example 2:
Input: s = ""abcdefg"", shift = [[1,1],[1,1],[0,2],[1,3]]
Output: ""efgabcd""
Explanation:  
[1,1] means shift to right by 1. ""abcdefg"" -> ""gabcdef""
[1,1] means shift to right by 1. ""gabcdef"" -> ""fgabcde""
[0,2] means shift to left by 2. ""fgabcde"" -> ""abcdefg""
[1,3] means shift to right by 3. ""abcdefg"" -> ""efgabcd""

Constraints:
`1 <= s.length <= 100`
`s` only contains lower case English letters.

`1 <= shift.length <= 100`
`shift[i].length == 2`
`0 <= shift[i][0] <= 1`
`0 <= shift[i][1] <= 100`",Easy,"function stringShift(s: string, shift: number[][]): string {
    const n = s.length;
    
    // Calculate net shift
    let netShift = 0;
    for (const [direction, amount] of shift) {
        if (direction === 0) {
            netShift -= amount; // Left shift
        } else {
            netShift += amount; // Right shift
        }
    }
    
    // Normalize net shift
    netShift = ((netShift % n) + n) % n; // Ensure non-negative result
    
    // Apply shift
    if (netShift === 0) {
        return s; // No shift needed
    }
    
    // Perform the shift
    const result = new Array(n);
    for (let i = 0; i < n; i++) {
        const newIndex = (i + netShift) % n;
        result[newIndex] = s[i];
    }
    
    return result.join('');
}

// Example usage:
console.log(stringShift(""abc"", [[0,1],[1,2]])); // Output: ""cab""
console.log(stringShift(""abcdefg"", [[1,1],[1,1],[0,2],[1,3]])); // Output: ""efgabcd"""
Invert Binary Tree,"Given the `root` of a binary tree, invert the tree, and return its root.


Example 1:
Input: root = [4,2,7,1,3,6,9]
Output: [4,7,2,9,6,3,1]

Example 2:
Input: root = [2,1,3]
Output: [2,3,1]

Example 3:
Input: root = []
Output: []

Constraints:
The number of nodes in the tree is in the range `[0, 100]`.

`-100 <= Node.val <= 100`",Easy,"// Definition for a binary tree node.
class TreeNode {
    val: number;
    left: TreeNode | null;
    right: TreeNode | null;

    constructor(val?: number, left?: TreeNode | null, right?: TreeNode | null) {
        this.val = (val===undefined ? 0 : val);
        this.left = (left===undefined ? null : left);
        this.right = (right===undefined ? null : right);
    }
}

function invertTree(root: TreeNode | null): TreeNode | null {
    // Base case: if the root is null, return null
    if (root === null) {
        return null;
    }

    // Swap the left and right children
    const temp = root.left;
    root.left = root.right;
    root.right = temp;

    // Recursively invert the left subtree
    invertTree(root.left);

    // Recursively invert the right subtree
    invertTree(root.right);

    // Return the root of the inverted tree
    return root;
}

// Example usage:
// Constructing the tree for example 1: [4,2,7,1,3,6,9]
const root1 = new TreeNode(4);
root1.left = new TreeNode(2);
root1.right = new TreeNode(7);
root1.left.left = new TreeNode(1);
root1.left.right = new TreeNode(3);
root1.right.left = new TreeNode(6);
root1.right.right = new TreeNode(9);

console.log(invertTree(root1)); // Output: [4,7,2,9,6,3,1]

// Constructing the tree for example 2: [2,1,3]
const root2 = new TreeNode(2);
root2.left = new TreeNode(1);
root2.right = new TreeNode(3);

console.log(invertTree(root2)); // Output: [2,3,1]

// Example 3: []
const root3: TreeNode | null = null;

console.log(invertTree(root3)); // Output: []"
Merge Strings Alternately,"You are given two strings `word1` and `word2`. Merge the strings by adding letters in alternating order, starting with `word1`. If a string is longer than the other, append the additional letters onto the end of the merged string.

Return the merged string.


Example 1:
Input: word1 = ""abc"", word2 = ""pqr""
Output: ""apbqcr""
Explanation: The merged string will be merged as so:
word1:  a   b   c
word2:    p   q   r
merged: a p b q c r

Example 2:
Input: word1 = ""ab"", word2 = ""pqrs""
Output: ""apbqrs""
Explanation: Notice that as word2 is longer, ""rs"" is appended to the end.

word1:  a   b 
word2:    p   q   r   s
merged: a p b q   r   s

Example 3:
Input: word1 = ""abcd"", word2 = ""pq""
Output: ""apbqcd""
Explanation: Notice that as word1 is longer, ""cd"" is appended to the end.

word1:  a   b   c   d
word2:    p   q 
merged: a p b q c   d

Constraints:
`1 <= word1.length, word2.length <= 100`
`word1` and `word2` consist of lowercase English letters.",Easy,"function mergeAlternately(word1: string, word2: string): string {
    const merged: string[] = [];
    const len1 = word1.length;
    const len2 = word2.length;
    const minLength = len1 < len2 ? len1 : len2;

    // Iterate through both strings up to the length of the shorter string
    for (let i = 0; i < minLength; i++) {
        merged.push(word1[i]);
        merged.push(word2[i]);
    }

    // Append remaining characters from word1, if any
    for (let i = minLength; i < len1; i++) {
        merged.push(word1[i]);
    }

    // Append remaining characters from word2, if any
    for (let i = minLength; i < len2; i++) {
        merged.push(word2[i]);
    }

    // Join the array into a single string and return it
    let result = '';
    for (let char of merged) {
        result += char;
    }

    return result;
}

// Example usage:
console.log(mergeAlternately(""abc"", ""pqr"")); // Output: ""apbqcr""
console.log(mergeAlternately(""ab"", ""pqrs"")); // Output: ""apbqrs""
console.log(mergeAlternately(""abcd"", ""pq"")); // Output: ""apbqcd"""
Delete N Nodes After M Nodes of a Linked List,"Given the `head` of a linked list and two integers `m` and `n`. Traverse the linked list and remove some nodes in the following way:
Start with the head as the current node.

Keep the first `m` nodes starting with the current node.

Remove the next `n` nodes
Keep repeating steps 2 and 3 until you reach the end of the list.

Return the head of the modified list after removing the mentioned nodes.

Follow up question: How can you solve this problem by modifying the list in-place?

Example 1:
Input: head = [1,2,3,4,5,6,7,8,9,10,11,12,13], m = 2, n = 3
Output: [1,2,6,7,11,12]
Explanation: Keep the first (m = 2) nodes starting from the head of the linked List  (1 ->2) show in black nodes.

Delete the next (n = 3) nodes (3 -> 4 -> 5) show in read nodes.

Continue with the same procedure until reaching the tail of the Linked List.

Head of linked list after removing nodes is returned.


Example 2:
Input: head = [1,2,3,4,5,6,7,8,9,10,11], m = 1, n = 3
Output: [1,5,9]
Explanation: Head of linked list after removing nodes is returned.


Example 3:
Input: head = [1,2,3,4,5,6,7,8,9,10,11], m = 3, n = 1
Output: [1,2,3,5,6,7,9,10,11]

Example 4:
Input: head = [9,3,7,7,9,10,8,2], m = 1, n = 2
Output: [9,7,8]

Constraints:
The given linked list will contain between `1` and `10^4` nodes.

The value of each node in the linked list will be in the range` [1, 10^6]`.

`1 <= m,n <= 1000`",Easy,"class ListNode {
    val: number;
    next: ListNode | null;
    constructor(val?: number, next?: ListNode | null) {
        this.val = (val===undefined ? 0 : val);
        this.next = (next===undefined ? null : next);
    }
}

function deleteNodes(head: ListNode | null, m: number, n: number): ListNode | null {
    let current = head;

    while (current) {
        // Keep the first m nodes
        for (let i = 1; i < m && current; i++) {
            current = current.next;
        }

        if (!current) break;

        // Remove the next n nodes
        let temp = current;
        for (let i = 0; i <= n && temp; i++) {
            temp = temp.next;
        }

        // Connect the m-th node to the node after the n-th node
        current.next = temp;

        // Move to the next segment
        current = temp;
    }

    return head;
}"
Reverse Linked List,"Given the `head` of a singly linked list, reverse the list, and return the reversed list.


Example 1:
Input: head = [1,2,3,4,5]
Output: [5,4,3,2,1]

Example 2:
Input: head = [1,2]
Output: [2,1]

Example 3:
Input: head = []
Output: []

Constraints:
The number of nodes in the list is the range `[0, 5000]`.

`-5000 <= Node.val <= 5000`
Follow up: A linked list can be reversed either iteratively or recursively. Could you implement both?",Easy,"class ListNode {
    val: number;
    next: ListNode | null;
    constructor(val?: number, next?: ListNode | null) {
        this.val = (val===undefined ? 0 : val);
        this.next = (next===undefined ? null : next);
    }
}

function reverseListIteratively(head: ListNode | null): ListNode | null {
    let prev: ListNode | null = null;
    let current: ListNode | null = head;
    
    while (current !== null) {
        let nextNode: ListNode | null = current.next; // Store the next node
        current.next = prev; // Reverse the current node's pointer
        prev = current; // Move prev to current
        current = nextNode; // Move to the next node
    }
    
    return prev; // New head of the reversed list
}"
How Many Numbers Are Smaller Than the Current Number,"Given the array `nums`, for each `nums[i]` find out how many numbers in the array are smaller than it. That is, for each `nums[i]` you have to count the number of valid `j's` such that `j != i` and `nums[j] < nums[i]`.

Return the answer in an array.


Example 1:
Input: nums = [8,1,2,2,3]
Output: [4,0,1,1,3]
Explanation: 
For nums[0]=8 there exist four smaller numbers than it (1, 2, 2 and 3). 
For nums[1]=1 does not exist any smaller number than it.

For nums[2]=2 there exist one smaller number than it (1). 
For nums[3]=2 there exist one smaller number than it (1). 
For nums[4]=3 there exist three smaller numbers than it (1, 2 and 2).


Example 2:
Input: nums = [6,5,4,8]
Output: [2,1,0,3]

Example 3:
Input: nums = [7,7,7,7]
Output: [0,0,0,0]

Constraints:
`2 <= nums.length <= 500`
`0 <= nums[i] <= 100`",Easy,"function smallerNumbersThanCurrent(nums: number[]): number[] {
    const result: number[] = [];
    
    for (let i = 0; i < nums.length; i++) {
        let count = 0;
        for (let j = 0; j < nums.length; j++) {
            if (nums[j] < nums[i] && i !== j) {
                count++;
            }
        }
        result.push(count);
    }
    
    return result;
}

// Example usage:
console.log(smallerNumbersThanCurrent([8, 1, 2, 2, 3])); // Output: [4, 0, 1, 1, 3]
console.log(smallerNumbersThanCurrent([6, 5, 4, 8]));     // Output: [2, 1, 0, 3]
console.log(smallerNumbersThanCurrent([7, 7, 7, 7]));     // Output: [0, 0, 0, 0]"
Find All The Lonely Nodes,"In a binary tree, a lonely node is a node that is the only child of its parent node. The root of the tree is not lonely because it does not have a parent node.

Given the `root` of a binary tree, return an array containing the values of all lonely nodes in the tree. Return the list in any order.


Example 1:
Input: root = [1,2,3,null,4]
Output: [4]
Explanation: Light blue node is the only lonely node.

Node 1 is the root and is not lonely.

Nodes 2 and 3 have the same parent and are not lonely.


Example 2:
Input: root = [7,1,4,6,null,5,3,null,null,null,null,null,2]
Output: [6,2]
Explanation: Light blue nodes are lonely nodes.

Please remember that order doesn't matter, [2,6] is also an acceptable answer.


Example 3:
Input: root = [11,99,88,77,null,null,66,55,null,null,44,33,null,null,22]
Output: [77,55,33,66,44,22]
Explanation: Nodes 99 and 88 share the same parent. Node 11 is the root.

All other nodes are lonely.


Example 4:
Input: root = [197]
Output: []

Example 5:
Input: root = [31,null,78,null,28]
Output: [78,28]

Constraints:
The number of nodes in the `tree` is in the range `[1, 1000].`
Each node's value is between `[1, 10^6]`.",Easy,"// Define the structure for a tree node
class TreeNode {
    val: number;
    left: TreeNode | null;
    right: TreeNode | null;

    constructor(val: number = 0, left: TreeNode | null = null, right: TreeNode | null = null) {
        this.val = val;
        this.left = left;
        this.right = right;
    }
}

// Function to find lonely nodes
function getLonelyNodes(root: TreeNode | null): number[] {
    const lonelyNodes: number[] = [];

    // Helper function to traverse the tree
    function traverse(node: TreeNode | null, parentHasOnlyOneChild: boolean): void {
        if (node === null) {
            return;
        }

        // Check if the current node is lonely
        if (parentHasOnlyOneChild) {
            lonelyNodes.push(node.val);
        }

        // Determine if the current node has only one child
        const hasOnlyOneChild = (node.left !== null && node.right === null) || (node.left === null && node.right !== null);

        // Traverse the left and right children
        traverse(node.left, hasOnlyOneChild);
        traverse(node.right, hasOnlyOneChild);
    }

    // Start traversal from the root
    traverse(root, false);

    return lonelyNodes;
}

// Example usage:
const root1 = new TreeNode(1, new TreeNode(2), new TreeNode(3, null, new TreeNode(4)));
console.log(getLonelyNodes(root1)); // Output: [4]

const root2 = new TreeNode(7, new TreeNode(1, new TreeNode(6)), new TreeNode(4, new TreeNode(5), new TreeNode(3, null, new TreeNode(2))));
console.log(getLonelyNodes(root2)); // Output: [6, 2]

const root3 = new TreeNode(11, new TreeNode(99, new TreeNode(77, new TreeNode(55, new TreeNode(33, new TreeNode(66, new TreeNode(44, new TreeNode(22)))))));
console.log(getLonelyNodes(root3)); // Output: [77, 55, 33, 66, 44, 22]

const root4 = new TreeNode(197);
console.log(getLonelyNodes(root4)); // Output: []

const root5 = new TreeNode(31, null, new TreeNode(78, null, new TreeNode(28)));
console.log(getLonelyNodes(root5)); // Output: [78, 28]"
Maximum Ascending Subarray Sum,"Given an array of positive integers `nums`, return the maximum possible sum of an ascending subarray in `nums`.

A subarray is defined as a contiguous sequence of numbers in an array.

A subarray `[numsl, numsl+1, ..., numsr-1, numsr]` is ascending if for all `i` where `l <= i < r`, `numsi  < numsi+1`. Note that a subarray of size `1` is ascending.


Example 1:
Input: nums = [10,20,30,5,10,50]
Output: 65
Explanation: [5,10,50] is the ascending subarray with the maximum sum of 65.


Example 2:
Input: nums = [10,20,30,40,50]
Output: 150
Explanation: [10,20,30,40,50] is the ascending subarray with the maximum sum of 150.


Example 3:
Input: nums = [12,17,15,13,10,11,12]
Output: 33
Explanation: [10,11,12] is the ascending subarray with the maximum sum of 33.


Example 4:
Input: nums = [100,10,1]
Output: 100

Constraints:
`1 <= nums.length <= 100`
`1 <= nums[i] <= 100`",Easy,"function maxAscendingSum(nums: number[]): number {
    // Initialize variables to keep track of the maximum sum and the current sum
    let maxSum = 0;
    let currentSum = 0;

    // Iterate through the array
    for (let i = 0; i < nums.length; i++) {
        // If it's the first element or the current element is greater than the previous one
        if (i === 0 || nums[i] > nums[i - 1]) {
            // Add the current element to the current sum
            currentSum += nums[i];
        } else {
            // Otherwise, compare the current sum with the max sum and update if needed
            if (currentSum > maxSum) {
                maxSum = currentSum;
            }
            // Reset the current sum to start a new subarray
            currentSum = nums[i];
        }
    }

    // After the loop, ensure we check the last subarray
    if (currentSum > maxSum) {
        maxSum = currentSum;
    }

    // Return the maximum sum found
    return maxSum;
}

// Example usage:
console.log(maxAscendingSum([10, 20, 30, 5, 10, 50])); // Output: 65
console.log(maxAscendingSum([10, 20, 30, 40, 50])); // Output: 150
console.log(maxAscendingSum([12, 17, 15, 13, 10, 11, 12])); // Output: 33
console.log(maxAscendingSum([100, 10, 1])); // Output: 100"
